SNAPSHOT_DATE,JANCODE,PRODUCT_NAME,MAKER_NAME,STOCK_QTY,UNIT_PRICE,STOCK_AMOUNT,STOCK_STATUS
2026-02-24,4902001000175,お雑煮セット 2人前,季節の味わい四季彩,0,498,0,季節外
2026-02-24,4902001000182,七草粥 1人前,季節の味わい四季彩,0,298,0,季節外
2026-02-24,4903001000011,もつ煮込み 200g,居酒屋惣菜よっちゃん,84,398,33432,通常
2026-02-24,4903001000028,焼き鳥 塩 3本入,居酒屋惣菜よっちゃん,142,298,42316,通常
2026-02-24,4903001000035,焼き鳥 タレ 3本入,居酒屋惣菜よっちゃん,57,298,16986,通常
2026-02-24,4903001000042,枝豆 100g,居酒屋惣菜よっちゃん,139,198,27522,通常
2026-02-24,4903001000059,たこわさ 50g,居酒屋惣菜よっちゃん,100,298,29800,通常
2026-02-24,4903001000066,冷奴セット 豆腐・薬味付き,居酒屋惣菜よっちゃん,9,198,1782,残少
2026-02-24,4904001000018,ミートソーススパゲッティ,洋食キッチンROSE,126,458,57708,通常
2026-02-24,4904001000025,ナポリタン,洋食キッチンROSE,47,428,20116,通常
2026-02-24,4904001000032,カルボナーラ,洋食キッチンROSE,53,498,26394,通常
2026-02-24,4904001000049,煮込みハンバーグ デミグラスソース,洋食キッチンROSE,45,548,24660,通常
2026-02-24,4904001000056,エビグラタン,洋食キッチンROSE,1,498,498,残少
2026-02-24,4904001000063,チキンドリア,洋食キッチンROSE,72,498,35856,通常
2026-02-24,4904001000070,オムライス,洋食キッチンROSE,136,498,67728,通常
2026-02-24,4905001000015,ビーフカレー 中辛,カレーハウスSPICE,131,498,65238,通常
2026-02-24,4905001000022,チキンカレー 中辛,カレーハウスSPICE,10,498,4980,残少
2026-02-24,4905001000039,野菜カレー 中辛,カレーハウスSPICE,32,458,14656,通常
2026-02-24,4905001000046,キーマカレー,カレーハウスSPICE,78,498,38844,通常
2026-02-24,4905001000053,バターチキンカレー,カレーハウスSPICE,131,548,71788,通常
2026-02-24,4905001000060,グリーンカレー,カレーハウスSPICE,51,548,27948,通常
